cycle_index,Capacity,IR,Temp_med,Iabs_med_dis,SOH_R,SOH_Q,RUL_cycles,cell_id,EoL
0,1.8614486722595336,,24.63810939550859,0.003117866562933059,,1.0139358718459184,343,B0005_N01,False
1,1.8558103160194745,,32.68688930801062,1.9820082456962702,,1.011319223752085,342,B0005_N01,False
2,1.8509645808491895,,25.367122147246977,0.07349507149815523,,1.0086632241767257,341,B0005_N01,False
3,1.8463208953484025,,32.494081019075104,1.9084932548998896,,1.0062619110389006,340,B0005_N01,False
4,1.841149991131005,,25.69785521822699,0.14386892625347292,,1.003174074054499,339,B0005_N01,False
5,1.836369855011872,,32.08690615278805,1.8383468462630328,,1.0005985330264435,338,B0005_N01,False
6,1.8349143557100152,,25.869370329529474,0.2130783246088638,,1.0003074757530837,337,B0005_N01,False
7,1.8344688132383462,,31.76367337020572,1.7660291450189407,,1.000277449133335,336,B0005_N01,False
8,1.8347240312296047,,25.904497601329602,0.283505644589941,,0.9999731899774256,335,B0005_N01,False
9,1.8340605852919587,,31.32831273344054,1.6957425692812285,,0.9998240944518352,334,B0005_N01,False
10,1.8346954999006464,,26.16345663034259,0.3514263951957928,,1.0000635610620905,333,B0005_N01,False
11,1.8338840649339068,,30.986577829989212,1.623166998265336,,1.0004379350880397,332,B0005_N01,False
12,1.8356680806355783,,26.468598060041217,0.4197865619880627,,1.0001635593053984,331,B0005_N01,False
13,1.8352184961750364,,30.81231509666475,1.552939585172723,,1.0002239960282129,330,B0005_N01,False
14,1.8322952992750927,,26.939936303051866,0.4887924808853302,,0.9982563639138751,329,B0005_N01,False
15,1.8273511653771524,,30.577549035761084,1.4826146037425487,,0.9957782962560033,328,B0005_N01,False
16,1.8259301752582409,,27.11313961595994,0.5640480158869242,,0.9948131321031718,327,B0005_N01,False
17,1.8261954502097506,,30.26679439408266,1.4146665497086932,,0.9943588793247139,326,B0005_N01,False
18,1.8264062187746397,,27.33825344126017,0.6310235539057203,,0.9942523547705867,325,B0005_N01,False
19,1.8258728761953447,,29.899729674122362,1.340335469655946,,0.994229694215855,324,B0005_N01,False
20,1.8255242624448418,,27.468918134744992,0.704262637197643,,0.9939873836360466,323,B0005_N01,False
21,1.825919753118889,,29.508717190077498,1.2720344606618157,,0.9941455557386778,322,B0005_N01,False
22,1.824859441269759,,27.78831398343467,0.7723258078955747,,0.9931391527359734,321,B0005_N01,False
23,1.8210824501820089,,25.089800105877877,-0.001624970655302851,,0.9911366527839939,320,B0005_N01,False
